seq,key,requested,used_before,used_after,held_before,remaining_before,limit,success,site
44,read_bytes,155,234829,234984,0,33319603,33554432,True,reader.py:42:read_json > reader.py:59:head_manifest > reader.py:68:read_record > reader.py:217:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
45,read_bytes,3153,234984,238137,0,33319448,33554432,True,reader.py:42:read_json > reader.py:78:read_record > reader.py:217:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
46,read_bytes,155,238137,238292,0,33316295,33554432,True,reader.py:42:read_json > reader.py:59:head_manifest > reader.py:68:read_record > reader.py:216:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
47,read_bytes,9219,238292,247511,0,33316140,33554432,True,reader.py:42:read_json > reader.py:78:read_record > reader.py:216:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
48,read_bytes,155,247511,247666,0,33306921,33554432,True,reader.py:42:read_json > reader.py:59:head_manifest > reader.py:68:read_record > reader.py:217:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
49,read_bytes,5408,247666,253074,0,33306766,33554432,True,reader.py:42:read_json > reader.py:78:read_record > reader.py:217:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
50,read_bytes,155,253074,253229,0,33301358,33554432,True,reader.py:42:read_json > reader.py:59:head_manifest > reader.py:68:read_record > reader.py:216:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
51,read_bytes,4956,253229,258185,0,33301203,33554432,True,reader.py:42:read_json > reader.py:78:read_record > reader.py:216:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
52,read_bytes,155,258185,258340,0,33296247,33554432,True,reader.py:42:read_json > reader.py:59:head_manifest > reader.py:68:read_record > reader.py:217:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
53,read_bytes,3538,258340,261878,0,33296092,33554432,True,reader.py:42:read_json > reader.py:78:read_record > reader.py:217:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
